location_id,location_name,latitude,longitude,terrain_type,elevation_m,weather_condition,temperature_c,wind_speed_kmh,precipitation_mm,distance_from_dc_km,road_quality,has_airport,has_seaport,has_rail_access,num_competitors,population_served,current_demand_units,demand_growth_projection_pct,market_saturation_pct,base_deployment_cost_usd,transportation_cost_per_unit_usd,labor_cost_per_hour_usd,facility_rental_monthly_usd,political_stability_score,natural_disaster_risk_score,supply_chain_risk_score,day_number,season
LOC-0101,Alpha Base,31.87,-85.74,Low Hills,2195,Rain,32.6,21.1,0.3,319.4,Poor,False,False,False,2,53179,6085,-4.3,56.7,113889.63,36.94,23.0,22489.56,7.1,4.3,8.9,1,Spring
LOC-0102,Bravo Station,30.23,-90.89,Beach,511,Partly Cloudy,18.7,13.9,4.7,79.3,Good,False,False,True,7,272829,6645,4.4,56.4,98037.32,12.93,25.93,12791.56,4.9,7.8,7.7,1,Summer
LOC-0103,Charlie Point,31.98,-86.1,Coastal Plain,2181,Partly Cloudy,11.9,2.3,12.7,196.9,Good,False,False,True,4,183323,3923,-0.0,21.1,111504.33,24.69,23.47,9369.33,4.1,3.2,7.3,1,Fall
LOC-0104,Delta Hub,33.86,-98.89,Beach,1075,Clear,13.6,13.6,0.9,102.1,Poor,False,False,True,7,302559,5653,20.5,70.5,105964.11,15.21,19.72,24188.81,5.3,2.2,7.3,1,Summer
LOC-0105,Echo Terminal,30.13,-98.38,Beach,94,Clear,15.7,3.0,2.9,336.4,Poor,False,False,False,3,330959,6487,3.9,27.4,99578.47,38.64,24.13,20852.35,8.4,3.9,3.7,1,Spring
LOC-0201,Alpha Base,31.59,-98.35,Coastal Plain,683,Rain,8.8,15.0,2.7,242.2,Excellent,False,False,True,6,159856,4033,11.7,48.3,111049.85,29.22,16.3,19301.72,5.3,3.5,7.2,2,Fall
LOC-0202,Bravo Station,31.5,-95.73,Beach,110,Rain,23.8,12.9,0.7,324.3,Poor,False,False,True,4,86383,4157,6.1,37.0,103530.4,37.43,31.06,28561.6,6.0,6.9,7.8,2,Spring
LOC-0203,Charlie Point,31.6,-97.2,Low Hills,122,Partly Cloudy,19.8,2.6,5.7,315.9,Poor,True,False,True,5,282988,5963,17.1,34.6,107810.18,36.59,25.83,34264.56,7.5,3.4,4.0,2,Winter
LOC-0204,Delta Hub,32.78,-92.06,Coastal Plain,725,Stormy,8.5,24.5,18.0,91.9,Fair,False,False,False,7,432917,3265,23.1,75.0,101439.62,14.19,28.38,6501.97,8.7,7.8,4.7,2,Summer
LOC-0205,Echo Terminal,32.74,-89.62,Coastal Plain,1955,Partly Cloudy,29.3,24.3,3.2,150.9,Poor,False,False,True,5,294143,9546,2.5,61.3,109642.12,20.09,34.58,26469.75,6.4,7.4,5.6,2,Spring
